\FIFO_E/FIFO_MEM_1_reg[0] :D FIFO_E/n140 [('FIFO_E/U298/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[8] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[8] :Q n704 [('FIFO_E/U306/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[8] :QN FIFO_E/n292 [('U564/A1', 'Input Pin(OAI211X3)')]
\FIFO_E/FIFO_MEM_1_reg[9] :D FIFO_E/n131 [('FIFO_E/U307/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[9] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[9] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[9] :Q n705 [('FIFO_E/U307/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[9] :QN FIFO_E/n291 [('U565/A1', 'Input Pin(OAI211X3)')]
\FIFO_E/FIFO_MEM_1_reg[30] :D FIFO_E/n110 [('FIFO_E/U328/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[30] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[30] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[30] :Q n726 [('FIFO_E/U328/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[30] :QN FIFO_E/n270 [('U441/A1', 'Input Pin(OAI211X3)')]
\FIFO_E/FIFO_MEM_1_reg[31] :D FIFO_E/n109 [('FIFO_E/U329/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[31] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[31] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_1_reg[31] :Q n727 [('FIFO_E/U329/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_1_reg[31] :QN FIFO_E/n269 [('U452/A1', 'Input Pin(OAI211X3)')]
\FIFO_E/FIFO_MEM_2_reg[0] :D FIFO_E/n172 [('FIFO_E/U266/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[0] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[0] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[0] :Q n215 [('FIFO_E/U266/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[0] :QN FIFO_E/n332 [('FIFO_E/U400/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[1] :D FIFO_E/n171 [('FIFO_E/U267/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[1] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[1] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[1] :Q n216 [('FIFO_E/U267/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[1] :QN FIFO_E/n331 [('FIFO_E/U378/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[2] :D FIFO_E/n170 [('FIFO_E/U268/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[2] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[2] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[2] :Q n217 [('FIFO_E/U268/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[2] :QN FIFO_E/n330 [('FIFO_E/U356/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[3] :D FIFO_E/n169 [('FIFO_E/U269/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[3] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[3] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[3] :Q n218 [('FIFO_E/U269/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[3] :QN FIFO_E/n329 [('FIFO_E/U350/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[4] :D FIFO_E/n168 [('FIFO_E/U270/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[4] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[4] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[4] :Q n219 [('FIFO_E/U270/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[4] :QN FIFO_E/n328 [('FIFO_E/U348/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[5] :D FIFO_E/n167 [('FIFO_E/U271/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[5] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[5] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[5] :Q n220 [('FIFO_E/U271/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[5] :QN FIFO_E/n327 [('FIFO_E/U346/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[6] :D FIFO_E/n166 [('FIFO_E/U272/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[6] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[6] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[6] :Q n221 [('FIFO_E/U272/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[6] :QN FIFO_E/n326 [('FIFO_E/U344/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[7] :D FIFO_E/n165 [('FIFO_E/U273/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[7] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[7] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[7] :Q n222 [('FIFO_E/U273/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[7] :QN FIFO_E/n325 [('FIFO_E/U342/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[8] :D FIFO_E/n164 [('FIFO_E/U274/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[8] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[8] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[8] :Q n223 [('FIFO_E/U274/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[8] :QN FIFO_E/n324 [('FIFO_E/U340/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[9] :D FIFO_E/n163 [('FIFO_E/U275/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[9] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[9] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[9] :Q n224 [('FIFO_E/U275/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[9] :QN FIFO_E/n323 [('FIFO_E/U338/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[10] :D FIFO_E/n162 [('FIFO_E/U276/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[10] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[10] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[10] :Q n225 [('FIFO_E/U276/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[10] :QN FIFO_E/n322 [('FIFO_E/U398/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[11] :D FIFO_E/n161 [('FIFO_E/U277/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[11] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[11] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[11] :Q n226 [('FIFO_E/U277/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[11] :QN FIFO_E/n321 [('FIFO_E/U396/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[12] :D FIFO_E/n160 [('FIFO_E/U278/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[12] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[12] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[12] :Q n227 [('FIFO_E/U278/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[12] :QN FIFO_E/n320 [('FIFO_E/U394/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[13] :D FIFO_E/n159 [('FIFO_E/U279/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[13] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[13] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[13] :Q n228 [('FIFO_E/U279/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[13] :QN FIFO_E/n319 [('FIFO_E/U392/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[14] :D FIFO_E/n158 [('FIFO_E/U280/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[14] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[14] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[14] :Q n229 [('FIFO_E/U280/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[14] :QN FIFO_E/n318 [('FIFO_E/U390/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[15] :D FIFO_E/n157 [('FIFO_E/U281/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[15] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[15] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[15] :Q n230 [('FIFO_E/U281/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[15] :QN FIFO_E/n317 [('FIFO_E/U388/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[16] :D FIFO_E/n156 [('FIFO_E/U282/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[16] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[16] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[16] :Q n231 [('FIFO_E/U282/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[16] :QN FIFO_E/n316 [('FIFO_E/U386/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[17] :D FIFO_E/n155 [('FIFO_E/U283/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[17] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[17] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[17] :Q n232 [('FIFO_E/U283/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[17] :QN FIFO_E/n315 [('FIFO_E/U384/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[18] :D FIFO_E/n154 [('FIFO_E/U284/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[18] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[18] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[18] :Q n233 [('FIFO_E/U284/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[18] :QN FIFO_E/n314 [('FIFO_E/U382/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[19] :D FIFO_E/n153 [('FIFO_E/U285/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[19] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[19] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[19] :Q n234 [('FIFO_E/U285/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[19] :QN FIFO_E/n313 [('FIFO_E/U380/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[20] :D FIFO_E/n152 [('FIFO_E/U286/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[20] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[20] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[20] :Q n235 [('FIFO_E/U286/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[20] :QN FIFO_E/n312 [('FIFO_E/U376/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[21] :D FIFO_E/n151 [('FIFO_E/U287/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[21] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[21] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[21] :Q n236 [('FIFO_E/U287/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[21] :QN FIFO_E/n311 [('FIFO_E/U374/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[22] :D FIFO_E/n150 [('FIFO_E/U288/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[22] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[22] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[22] :Q n237 [('FIFO_E/U288/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[22] :QN FIFO_E/n310 [('FIFO_E/U372/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[23] :D FIFO_E/n149 [('FIFO_E/U289/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[23] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[23] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[23] :Q n238 [('FIFO_E/U289/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[23] :QN FIFO_E/n309 [('FIFO_E/U370/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[24] :D FIFO_E/n148 [('FIFO_E/U290/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[24] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[24] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[24] :Q n239 [('FIFO_E/U290/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[24] :QN FIFO_E/n308 [('FIFO_E/U368/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[25] :D FIFO_E/n147 [('FIFO_E/U291/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[25] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[25] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[25] :Q n240 [('FIFO_E/U291/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[25] :QN FIFO_E/n307 [('FIFO_E/U366/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[26] :D FIFO_E/n146 [('FIFO_E/U292/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[26] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[26] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[26] :Q n241 [('FIFO_E/U292/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[26] :QN FIFO_E/n306 [('FIFO_E/U364/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[27] :D FIFO_E/n145 [('FIFO_E/U293/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[27] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[27] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[27] :Q n242 [('FIFO_E/U293/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[27] :QN FIFO_E/n305 [('FIFO_E/U362/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[28] :D FIFO_E/n144 [('FIFO_E/U294/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[28] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[28] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[28] :Q n243 [('FIFO_E/U294/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[28] :QN FIFO_E/n304 [('FIFO_E/U360/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[29] :D FIFO_E/n143 [('FIFO_E/U295/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[29] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[29] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[29] :Q n244 [('FIFO_E/U295/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[29] :QN FIFO_E/n303 [('FIFO_E/U358/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[30] :D FIFO_E/n142 [('FIFO_E/U296/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[30] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[30] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[30] :Q n245 [('FIFO_E/U296/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[30] :QN FIFO_E/n302 [('FIFO_E/U354/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_2_reg[31] :D FIFO_E/n141 [('FIFO_E/U297/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[31] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[31] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_2_reg[31] :Q n246 [('FIFO_E/U297/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_2_reg[31] :QN FIFO_E/n301 [('FIFO_E/U352/B1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_3_reg[0] :D FIFO_E/n204 [('FIFO_E/U234/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[0] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[0] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[0] :Q n535 [('FIFO_E/U234/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[0] :QN FIFO_E/n364 [('FIFO_E/U400/A1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_3_reg[1] :D FIFO_E/n203 [('FIFO_E/U235/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[1] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[1] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[1] :Q n536 [('FIFO_E/U235/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[1] :QN FIFO_E/n363 [('FIFO_E/U378/A1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_3_reg[2] :D FIFO_E/n202 [('FIFO_E/U236/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[2] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[2] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[2] :Q n537 [('FIFO_E/U236/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[2] :QN FIFO_E/n362 [('FIFO_E/U356/A1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_3_reg[3] :D FIFO_E/n201 [('FIFO_E/U237/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[3] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[3] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[3] :Q n538 [('FIFO_E/U237/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[3] :QN FIFO_E/n361 [('FIFO_E/U350/A1', 'Input Pin(OA22X6)')]
\FIFO_E/FIFO_MEM_3_reg[4] :D FIFO_E/n200 [('FIFO_E/U238/Q', 'Output Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[4] :CP clk [('clk', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[4] :RN reset [('reset', 'Input Port')]
\FIFO_E/FIFO_MEM_3_reg[4] :Q n539 [('FIFO_E/U238/B2', 'Input Pin(AO22X6)')]
\FIFO_E/FIFO_MEM_3_reg[4] :QN FIFO_E/n360 [('FIFO_E/U348/A1', 'Input Pin(OA22X6)')]
